date,abandoned,connected,disconnected,neverseen,cc
2017-05-27,4,0,4,0,EG
2017-05-26,4,0,4,0,EG
2017-05-25,4,1,3,0,EG
2017-05-24,4,1,3,0,EG
2017-05-23,4,0,4,0,EG
2017-05-22,4,1,3,0,EG
2017-05-21,4,0,4,0,EG
2017-05-20,4,1,3,0,EG
2017-05-19,4,0,4,0,EG
2017-05-18,4,1,3,0,EG
2017-05-17,4,1,3,0,EG
2017-05-16,4,0,4,0,EG
2017-05-15,4,0,4,0,EG
2017-05-14,4,0,4,0,EG
2017-05-13,4,0,4,0,EG
2017-05-12,4,0,4,0,EG
2017-05-11,4,0,4,0,EG
2017-05-10,4,0,4,0,EG
2017-05-09,4,0,4,0,EG
2017-05-08,4,0,4,0,EG
2017-05-07,4,0,4,0,EG
2017-05-06,4,0,4,0,EG
2017-05-05,4,0,4,0,EG
2017-05-04,4,0,4,0,EG
2017-05-03,4,0,4,0,EG
2017-05-02,4,0,4,0,EG
2017-05-01,4,0,4,0,EG
2017-04-30,4,0,4,0,EG
2017-04-29,4,0,4,0,EG
2017-04-28,4,1,3,0,EG
2017-04-27,4,0,4,0,EG
2017-04-26,4,0,4,0,EG
2017-04-25,4,0,4,0,EG
2017-04-24,4,0,4,0,EG
2017-04-23,4,1,3,0,EG
2017-04-22,4,0,4,0,EG
2017-04-21,4,0,4,0,EG
2017-04-20,4,0,4,0,EG
2017-04-19,4,1,3,0,EG
2017-04-18,4,1,3,0,EG
2017-04-17,4,1,3,0,EG
2017-04-16,4,1,3,0,EG
2017-04-15,4,0,4,0,EG
2017-04-14,4,1,3,0,EG
2017-04-13,4,0,4,0,EG
2017-04-12,4,1,3,0,EG
2017-04-11,4,1,3,0,EG
2017-04-10,4,1,3,0,EG
2017-04-09,4,1,3,0,EG
2017-04-08,4,1,3,0,EG
2017-04-07,4,1,3,0,EG
2017-04-06,4,1,3,0,EG
2017-04-05,4,1,3,0,EG
2017-04-04,4,1,3,0,EG
2017-04-03,4,1,3,0,EG
2017-04-02,4,1,3,0,EG
2017-04-01,4,1,3,0,EG
2017-03-31,4,0,4,0,EG
2017-03-30,4,1,3,0,EG
2017-03-29,4,1,3,0,EG
2017-03-28,4,1,3,0,EG
2017-03-27,4,1,3,0,EG
2017-03-26,4,1,3,0,EG
